OBJECTID,Parcel Number,APN  JF,Address,City,Zip Code,Legal Line,Case No 1,Case No 2,Case No 3,Case No 4,Amount 1,Amount 2,Amount 3,Amount 4,Sale Location
380,13-830-28-15-00-0-00-000,JA13830281500000000,4504 INDEPENDENCE AVE,KANSAS CITY,64124,"GLADSTONE HEIGHTS RESURVEY, LOT M (EX S 10' IN INDEPENDENCE AVE)",K2015-01064,,,,2028.04,,,,Kansas City
382,13-830-27-13-00-0-00-000,JA13830271300000000,4412 INDEPENDENCE AVE,KANSAS CITY,64124,"GLADSTONE HEIGHTS RES, E 40' OF TH N 135' OF LOT H",K2015-01062,,,,1429.79,,,,Kansas City
389,13-840-13-34-00-0-00-000,JA13840133400000000,308 TOPPING AVE,KANSAS CITY,64123,"OAKLEY PARK, LOT 35",K2015-01070,,,,1937.15,,,,Kansas City
395,13-840-21-33-00-0-00-000,JA13840213300000000,402 QUINCY AVE,KANSAS CITY,64124,"DUNDEE PARK, LOT 1, BLK 2 & N 15' O F      LOT 2 BLK 2",K2012-15200,K2015-01078,,,3267.13,3267.13,,,Kansas City
343,13-930-11-07-00-0-00-000,JA13930110700000000,321 BELLEFONTAINE AVE,KANSAS CITY,64124,"SMART'S D O ADD, N 35' OF W 67' OF LOT 26",K2015-01091,,,,1556.47,,,,Kansas City
399,13-930-11-12-00-0-00-000,JA13930111200000000,337 BELLEFONTAINE AVE,KANSAS CITY,64124,"SMART'S D O ADD, S 40' OF W 57' OF LOT 23",K2015-01092,,,,2603.87,,,,Kansas City
398,13-940-07-15-00-0-00-000,JA13940071500000000,3616 ANDERSON AVE,KANSAS CITY,64123,"CHAUTAUQUA PLACE, LOT 15 BLK 4",K2015-01100,,,,1167.02,,,,Kansas City
340,13-940-22-09-00-0-00-000,JA13940220900000000,409 ASKEW AVE,KANSAS CITY,64124,"IRVING PARK, S 32' LOTS 6 & 7",K2015-01110,,,,3478.09,,,,Kansas City
386,13-940-25-05-00-0-00-000,JA13940250500000000,3425 GARNER AVE,KANSAS CITY,64124,"RICKERTS SECOND ADD, W 30 FT OF LOT 12",K2015-01112,,,,399.49,,,,Kansas City
391,13-940-26-01-00-0-00-000,JA13940260100000000,424 ASKEW AVE,KANSAS CITY,64124,"IRVING PARK, N 32 FT OF LOTS 36 & 37",K2015-01113,,,,2993.75,,,,Kansas City
401,14-710-20-10-00-0-00-000,JA14710201000000000,205 N STERLING AVE,SUGAR CREEK,64054,"SUGAR CREEK TOWNSITE, LOTS 4 & 5 BLK 6",I2014-00009,,,,4308.64,,,,Independence
797,14-710-22-19-00-0-00-000,JA14710221900000000,124 N CARLISLE ST,SUGAR CREEK,64054,"KENTUCKY & CARLISLE, LOT 9",I2015-00009,,,,3336.83,,,,Independence
400,14-720-19-20-00-0-00-000,JA14720192000000000,136 N HARDY AVE,INDEPENDENCE,64053,"JACKSON LITHIA PLACE, LOT 86",I2015-00016,,,,3725.44,,,,Independence
393,14-740-03-02-00-0-00-000,JA14740030200000000,103 S HIGH ST,SUGAR CREEK,64054,"SUGAR CREEK ANNEX, LOTS 57 & 58 & W 1/2 VAC ALLEY LY E OF & ADJ SD LOTS",I2015-00023,,,,944.5,,,,Independence
404,14-810-09-07-02-0-00-000,JA14810090702000000,217 N EVANSTON AVE,INDEPENDENCE,64053,"MOUNT WASHINGTON, S 1/2 OF LOT 5 BLK 2",I2015-00031,,,,10568.63,,,,Independence
405,14-810-05-08-00-0-00-000,JA14810050800000000,201 N OXFORD AVE,INDEPENDENCE,64053,"MOUNT WASHINGTON, LOTS 177-179",I2015-00027,,,,3491.85,,,,Independence
408,14-810-07-21-00-0-00-000,JA14810072100000000,220 N ARLINGTON AVE,INDEPENDENCE,64053,"MOUNT WASHINGTON, LOTS 333-336",I2015-00030,,,,1471.15,,,,Independence
394,14-820-06-41-00-0-00-000,JA14820064100000000,149 N DITZLER AVE,INDEPENDENCE,64053,"WASHINGTON PARK ANNEX, LOTS 55 & 56",I2014-00030,,,,1553.93,,,,Independence
407,14-820-05-14-00-0-00-000,JA14820051400000000,9008 E NORLEDGE AVE,INDEPENDENCE,64053,"WASHINGTON PARK ANNEX, BEG SE COR TR A TH N 155' TH W 100' TH S 150' TH SELY ALG, CURVE TO BEG",I2015-00034,,,,1017.53,,,,Independence
396,14-830-01-13-00-0-00-000,JA14830011300000000,134 S BROOKSIDE AVE,INDEPENDENCE,64053,"WASHINGTON PARK, S 89.35' LOT 171 & TRIANGLE LY NELY OF RR",I2015-00037,,,,297.68,,,,Independence
367,14-830-21-21-00-0-00-000,JA14830212100000000,8924 E INDEPENDENCE AVE,INDEPENDENCE,64053,"ST CLAIR PARK, LOTS 333 & 334",I2015-00045,,,,2156.53,,,,Independence
381,14-830-15-09-00-0-00-000,JA14830150900000000,8906 SMART AVE,INDEPENDENCE,64053,"ST CLAIR PARK, LOTS 257 & 258",I2015-00042,,,,3270.63,,,,Independence
384,14-830-15-06-00-0-00-000,JA14830150600000000,8905 LEXINGTON AVE,INDEPENDENCE,64053,"ST CLAIR PARK, LOTS 242 & 243",I2014-00038,,,,2643.33,,,,Independence
385,14-840-12-09-00-0-00-000,JA14840120900000000,242 S ARLINGTON AVE,INDEPENDENCE,64053,"NORTH EVANSTON, N 117.8' OF E 85' LOT 1 BLK 15",I2015-00051,,,,12571.32,,,,Independence
388,14-840-07-20-00-0-00-000,JA14840072000000000,122 S GLENWOOD AVE,INDEPENDENCE,64053,"MOUNT WASHINGTON, N 1/2 LOT 11 & ALL LOT 12 BLK 10",I2015-00050,,,,2227.28,,,,Independence
371,14-840-22-11-00-0-00-000,JA14840221100000000,537 S GLENWOOD AVE,INDEPENDENCE,64053,"NORTH EVANSTON, N 1/2 LOT 18 BLK 7",I2015-00058,,,,1801.08,,,,Independence
377,14-840-18-36-00-0-00-000,JA14840183600000000,10007 E WILSON RD,INDEPENDENCE,64053,"NORTH EVANSTON, LOT 3 BLK 11",I2015-00055,,,,1319.97,,,,Independence
378,14-840-19-04-00-0-00-000,JA14840190400000000,515 S EVANSTON AVE,INDEPENDENCE,64053,"NORTH EVANSTON, N 1/2 LOT 21 BLK 10",I2015-00056,,,,1828.13,,,,Independence
387,14-940-13-37-00-0-00-000,JA14940133700000000,416 DONNELLY AVE,KANSAS CITY,64125,"WASHINGTON, LOT 6 BLK 9",K2015-01127,,,,662.44,,,,Kansas City
370,14-940-21-11-00-0-00-000,JA14940211100000000,8605 SMART AVE,KANSAS CITY,64125,"ATHOL, LOT 232",K2015-01129,,,,1798.19,,,,Kansas City
376,14-940-19-23-00-0-00-000,JA14940192300000000,8726 E SMART AVE,INDEPENDENCE,64053,"ATHOL, LOT 93",I2015-00065,,,,3588.16,,,,Independence
383,14-940-15-12-00-0-00-000,JA14940151200000000,482 WALLACE AVE,KANSAS CITY,64125,"WASHINGTON, LOT 5 BLK 11",K2015-01128,,,,668.1,,,,Kansas City
365,14-940-25-31-00-0-00-000,JA14940253100000000,538 BLUE RIDGE BLVD,KANSAS CITY,64125,"ATHOL, LOT 312",K2015-01130,,,,2882.43,,,,Kansas City
411,15-430-06-36-00-0-00-000,JA15430063600000000,NO ADDRESS ASSIGNED BY CITY,SUGAR CREEK,64054,DEER RUN ESTATES---LOT 2,I2015-00072,,,,511.97,,,,Independence
798,15-430-06-44-00-0-00-000,JA15430064400000000,NO ADDRESS ASSIGNED BY CITY,SUGAR CREEK,64054,DEER RUN ESTATES---LOT 10,I2015-00073,,,,511.97,,,,Independence
917,15-740-06-07-00-0-00-000,JA15740060700000000,1716 E MECHANIC AVE,INDEPENDENCE,64050,"BROADACRES ANNEX, W 140.2' OF LOT 20 & VAC NICKELL AVE LY N & ADJ",I2015-00076,,,,3162.05,,,,Independence
341,15-810-09-11-00-0-00-000,JA15810091100000000,1608 N PEARL ST,INDEPENDENCE,64050,EDGEWOOD PARK S 13.62' LOT 7 & N 43.19' LOT 8 BLK 10,I2015-00080,,,,3961.53,,,,Independence
374,15-830-09-22-00-0-00-000,JA15830092200000000,1410 N PLEASANT ST,INDEPENDENCE,64050,OTT & MOORES ADD   LOTS 115 & 116,I2015-00081,,,,2370.2,,,,Independence
357,15-940-04-01-01-2-00-000,JA15940040101200000,1122 N RIVER BLVD,INDEPENDENCE,64050,"SEC-34 TWP-50 RNG-32---BEG AT A PT ON TH N LI OF THE S 1/2 OF SD SE 1/4 SD PT BEING ON W LI OF RIVER BLVD TH S O5 DEG 19 MIN 35 SEC W ALG SD LI 546.44' TO POB TH S 05 DEG 19' 35'' W 115' TH N 87 DEG, 27' MIN 49 SEC W 190' TH N 5 DEG 19 MIN 35 SEC E 115' TH S 87 DEG 27 MIN 49 SEC E 190' TO POB",I2015-00090,,,,8772.41,,,,Independence
874,16-430-01-04-00-0-00-000,JA16430010400000000,16400 E US 24 HWY,INDEPENDENCE,64056,"SEC 30 TWP 50 RNG 31 BEG 294' E & 555.86' S OF NW COR OF SW 1/4 TH E 159.7' TH S 144' TH E 82.16' TH S 150' TH E 137.84' TH S 239.92' TH W 33' TH S 141.3' TO N ROW LI US 24 HWY TH NE ALG ROW 160.81', TH N TO N LI OF SD 1/4  TH W 494.4' ALG SD N LI TH S 555.86  TO POB",I2015-00102,,,,23602.27,,,,Independence
873,16-540-08-25-00-0-00-000,JA16540082500000000,19019 E SUSQUEHANNA CT,INDEPENDENCE,64056,"FAR VIEW HEIGHTS, LOT 1439",I2015-00112,,,,5862.22,,,,Independence
877,19-310-18-13-00-0-00-000,JA19310181300000000,318 S HUDSON ST,BUCKNER,64016,"BUCKNER, S 6.25' OF LT 11 & LOT 12 (EX PT OFF S SIDE OF LOT TO, CENTER LI OF WALL) BLK 15",I2015-00117,,,,20053.1,,,,Independence
875,19-340-10-03-00-0-00-000,JA19340100300000000,719 S CENTRAL ST,BUCKNER,64016,"JEFFRIES ADD, LOT 2 (EX N 10')",I2014-00140,,,,7205.61,,,,Independence
876,20-200-01-54-00-0-00-000,JA20200015400000000,411 E OLD LEXINGTON RD,LEVASY,64088,DIECKMANN'S ADD ---  E 75' LOT 6  LYG N US HWY 24,I2014-00144,,,,2709.02,,,,Independence
891,22-400-02-43-00-0-00-000,JA22400024300000000,31401 E OAKLAND SCHOOL RD,UNINCORPORATED,64016,LAKE RIDGE ACRES 1ST PLAT LOTS 1 & 2---LOT 2,I2015-00123,,,,1290.55,,,,Independence
812,24-640-02-25-04-4-00-000,JA24640022504400000,95 OAK HL,INDEPENDENCE,64057,"HARVEST HILLS 2ND PLAT---TH PT BLK F & COMMON AREA DAF: BEG SELY COR SD BLK F TH S 73 DEG W ALG SLY LI BLK F 20.77'  TH S 00 DEG 55 MIN 15 SEC E 5.05' TH S 89 DEG 04 MIN 45 SEC W 17.51' TO PT ON SLY, LI BLK F TH S 73 DEG W 7.80' TH S 00 DEG 55 MIN 15 SEC E 9.84' TH S 89 DEG 04 MIN 45 SEC W 25' TH N 00 DEG 55 MIN 15 SEC W 2.63' TO A PT ON SLY LI BLK F TH S 73 DEG W .72' TO SW COR BLK F TH N ALG W, LI BLK F 47.07' TH N 89 DEG 04 MIN 45 SEC E 25' TH S 00 DEG 55 MIN 15 SEC E 12.50' TH N 89 DEG 04 MIN 45 SEC E 45.90' TO PT ON E LI BLK F TH SLY ALG A CURVE TO LF & ALG SD E LI BLK F 14.24' TO POB",I2015-00127,,,,5187.64,,,,Independence
950,25-410-03-18-00-0-00-000,JA25410031800000000,1927 BELMONT BLVD,INDEPENDENCE,64057,"HIGHLEAH, LOT 47",I2015-00139,,,,7912.46,,,,Independence
871,25-820-04-16-00-0-00-000,JA25820041600000000,18302 E R D MIZE RD,INDEPENDENCE,64057,"WALNUT GARDENS, LOT 10",I2015-00143,,,,7400.8,,,,Independence
804,25-940-04-17-02-1-00-000,JA25940041702100000,NO ADDRESS ASSIGNED BY CITY,INDEPENDENCE,64055,"SEC-18 TWP-48 RNG-31 --- BEG AT NE COR LOT 5 DONALDSON ADD TH S 02 DEG 01 IN 51 SEC W 164.67' TO TRU POB TH S 87 DEG 44 MIN 31 SEC E 155.42' TH S 02 DEG 01 MIN 51 SEC W 164.67' TH N 87 DEG 44 MIN 31, SEC W 155.42' TH N 02 DEG 01 MIN 51 SEC E 164.67' TO POB",I2015-00144,,,,3061.24,,,,Independence
870,25-940-04-20-00-0-00-000,JA25940042000000000,3130 S M 291 HWY,INDEPENDENCE,64055,"STONE OAK, LOTS 1 & 2---LOT 2",I2015-00145,,,,7564.1,,,,Independence
287,26-120-09-34-02-0-00-000,JA26120093402000000,304 N KIGER RD,INDEPENDENCE,64050,FRENCH ACRES---PT OF LOT 8 DAF:  BEG 330' S OF NE COR LOT 8 TH S 130' TH W 145.33' TH N 100' TH N 80DEG 30 MIN 06 SEC E 148.53' TO POB,I2013-00219,,,,3574.43,,,,Independence
298,26-120-10-14-00-0-00-000,JA26120101400000000,604 N ROGERS ST,INDEPENDENCE,64050,"WESTWOOD HILLS, LOT 39",I2015-00150,,,,5427.5,,,,Independence
270,26-130-02-23-00-0-00-000,JA26130022300000000,1102 E WALNUT ST,INDEPENDENCE,64050,"THOROMAN ADD, LOT 10",I2015-00152,,,,1627.94,,,,Independence
974,26-130-08-16-00-0-00-000,JA26130081600000000,303 S HUNTER ST UNIT A,INDEPENDENCE,64050,"ROGERS PLACE, W 50' (EX N 170') OF LOT 2 & ALL OF LOT 3 (EX N 170')",I2015-00153,,,,6661.49,,,,Independence
987,26-130-13-10-00-0-00-000,JA26130131000000000,1110 E PACIFIC AVE,INDEPENDENCE,64050,"FEREDAY ACRES, LOT 28",I2015-00155,,,,15795.47,,,,Independence
335,26-210-06-16-00-0-00-000,JA26210061600000000,326 E COLLEGE ST,INDEPENDENCE,64050,COLLEGE STREET ADD---LOT 2,I2015-00156,,,,6220.07,,,,Independence
297,26-220-15-26-00-0-00-000,JA26220152600000000,602 N OSAGE ST,INDEPENDENCE,64050,"INDEPENDENCE ANNEX, LOT 27 DAF: BEG 27.5' W OF NE COR OF S 1/2 TH W 154' TH S, 31' TH E 154' TH N 31' TO POB",I2014-00188,,,,2984.91,,,,Independence
1000,26-240-20-10-00-0-00-000,JA26240201000000000,520 E WALNUT ST,INDEPENDENCE,64050,"SEC-02 TWP-49 RNG-32, ALL S 1/2 OF TR DAF: BEG AT A PT 33' N & 225' E OF SW COR OF, NE SE TH N 280.5' TO S LI KANSAS TH E 50' TH S 280.5' TO N, LI WALNUT TH W 50' TO POB",I2014-00193,,,,4253.73,,,,Independence
796,26-320-09-05-00-0-00-000,JA26320090500000000,NO ADDRESS ASSIGNED BY CITY,INDEPENDENCE,64050,MCCORMICK PLACE LOT 4 BLK 7,I2015-00176,,,,267.15,,,,Independence
978,26-320-07-09-00-0-00-000,JA26320070900000000,701 N FOREST AVE,INDEPENDENCE,64050,"SEC-03 TWP-49 RNG-32---TH PT NW 1/4  DAF: BEG AT PT OF INTERSEC OF E ROW LI FOREST & N ROW LI COLLEGE TER TH N ALG SD E ROW  LI 154' TO WLY PROLO S LI LOT 4 JOSEPH R WARREN ADD TH E ALG SD PROLO & SD, S LI 123' TO SE COR LOT 4 TH S ALG SLY PROLO E LI LOT 4 137' MOL TO NLY LI MINDRUP HEIGHTS TH SWLY ALG SD NLY LI 28' MOL TO PT ON N ROW LI COLLEGE TER TH W ALG SD N ROW LI 90' MOL TO POB",I2015-00174,,,,5112.18,,,,Independence
237,26-320-18-09-00-0-00-000,JA26320180900000000,11409 E PEERY ST,INDEPENDENCE,64054,"FAIRMOUNT HIGHLANDS, LOT 257",I2015-00180,,,,998.66,,,,Independence
977,26-320-17-12-00-0-00-000,JA26320171200000000,11400 E PEERY ST,INDEPENDENCE,64054,"FAIRMOUNT HIGHLANDS, LOT 254",I2014-00205,,,,5320.29,,,,Independence
1001,26-330-10-49-00-0-00-000,JA26330104900000000,1412 W WALNUT ST,INDEPENDENCE,64050,"SAWYER PLACE, LOT 1",I2014-00206,,,,4161.65,,,,Independence
266,26-340-08-17-02-0-00-000,JA26340081702000000,NO ADDRESS ASSIGNED BY CITY,INDEPENDENCE,64050,VERNON PLACE---S 30' OF E 83' LOT 37,I2015-00190,,,,1319.61,,,,Independence
282,26-340-05-19-00-0-00-000,JA26340051900000000,203 N CRYSLER AVE,INDEPENDENCE,64050,"VERNON PLACE---BEG 112.5’ N OF SW COR OF LOT  2 TH E 70’ TH NELY TO A PT 125’ E OF W LI OF SD LOT  TH W TO W LI OF SD LOT TH SELY TO BEG ALSO COMM AT SWCOR OF LOT 2 TH N 23 DEG 36 MIN W ALG W LI OF SD, LOT AND ALG E LI OF CRYSLER  AVE 112.5’ TH E 70’ TO SE COR OF THIS TR OF LAND DAF BOOK 784/17 TH N 33 DEG 13 MIN E 60.2’ TO NE CORNER OF SAID TR DESC IN SD BOOK AND PAGE TH E 5’ TO POINT IN CEN LI OF, DITCH AS NOW LOC TH S 10 DEG 15 MIN W ALG CEN LI OF SD DITCH 36.5’ FT TH S 65 DEG 19 MIN W 34.66’ TO TRU PT OF BEG (EX N 4’ FT OF BOTH TRS TO MCFADDEN OF LOT 2)",I2015-00189,,,,3938.17,,,,Independence
232,26-410-08-06-00-0-00-000,JA26410080600000000,1003 W HAYWARD AVE,INDEPENDENCE,64052,"OTT & ROBERTS RES MUNNS, W 41' OF E 82' LOTS 78-79-80 & 81",I2015-00191,,,,2949.31,,,,Independence
958,26-410-12-07-00-0-00-000,JA26410120700000000,811 S MARION AVE,INDEPENDENCE,64052,"FREELING'S N M RES OF LOTS 1-11 BLK 15 SOUTHSIDE ADD #2, LOTS 19, 20, 21 & 22",I2015-00193,,,,2895.15,,,,Independence
959,26-410-12-09-00-0-00-000,JA26410120900000000,825 S MARION AVE,INDEPENDENCE,64052,FRELING'S N M RESURVEY LOTS 1-11 OF BLk 15 OF SOUTH SIDE ADDITION NO 2---LOTS 15 & 16,I2014-00217,,,,1635.48,,,,Independence
189,26-410-23-14-00-0-00-000,JA26410231400000000,1029 S CRYSLER AVE,INDEPENDENCE,64052,"TORPHYS JOHN ADD, LOTS 1 & 2",I2015-00197,,,,7955.2,,,,Independence
208,26-410-22-06-00-0-00-000,JA26410220600000000,1235 W SOUTH AVE,INDEPENDENCE,64050,SOUTH SIDE ADD 2---E 40' OF W 138' LOT 1 BLK 9 & TH PT VAC RAILROAD AVE LY S OF & ADJ,I2015-00196,,,,1701.64,,,,Independence
962,26-510-06-07-00-0-00-000,JA26510060700000000,811 POPE AVE,INDEPENDENCE,64050,"EDEN PARK, LOT 223",I2015-00207,,,,4322.1,,,,Independence
106,26-520-10-16-00-0-00-000,JA26520101600000000,122 W SEA AVE,INDEPENDENCE,64050,"FRENCH PARK, W 30' LOT 5 & E 20' LOT 6 BLK 1",I2015-00212,,,,4811.27,,,,Independence
229,26-520-11-14-00-0-00-000,JA26520111400000000,427 W LINDEN AVE,INDEPENDENCE,64050,"SOUTH SIDE, N 1/2 LOT 15 BLK 1",I2014-00234,,,,2132.13,,,,Independence
200,26-520-24-03-00-0-00-000,JA26520240300000000,1019 S PLEASANT ST,INDEPENDENCE,64050,"PACIFIC GROVE, E 115' LOT 24 BLK A",I2015-00213,,,,2218.59,,,,Independence
131,26-540-12-16-00-0-00-000,JA26540121600000000,1310 POPE AVE,INDEPENDENCE,64055,"FAIRWAY PARK, LOTS 212 & 213",I2015-00218,,,,8170.21,,,,Independence
128,26-540-15-35-00-0-00-000,JA26540153500000000,1394 S LOGAN ST,INDEPENDENCE,64055,"FAIRWAY PARK, LOT 184",I2015-00219,,,,1530.65,,,,Independence
956,26-620-14-02-00-0-00-000,JA26620140200000000,803 S WOODBURY ST,INDEPENDENCE,64050,"HADEN HEIGHTS, LOT 35",I2015-00227,,,,4837.46,,,,Independence
963,26-620-11-04-00-0-00-000,JA26620110400000000,807 S SAVILLE AVE,INDEPENDENCE,64050,"COOPERS, LOT 29",I2015-00226,,,,629.21,,,,Independence
177,26-620-15-07-00-0-00-000,JA26620150700000000,901 S HADEN ST,INDEPENDENCE,64050,"HADEN HEIGHTS, LOT 24",I2015-00228,,,,2132.34,,,,Independence
872,26-640-01-18-00-0-00-000,JA26640011800000000,16008 E 25TH ST S,INDEPENDENCE,64055,"TAMAQUA ACRES, LOT 2",I2015-00229,,,,6880.09,,,,Independence
355,27-110-04-02-00-0-00-000,JA27110040200000000,11109 E INDEPENDENCE AVE,INDEPENDENCE,64054,"FAIRMOUNT HIGHLANDS, LOT 11",I2015-00240,,,,5778.42,,,,Independence
294,27-120-30-15-00-0-00-000,JA27120301500000000,1100 S CEDAR AVE,INDEPENDENCE,64053,"EVANSTON GOLF LANDS, S 50' OF LOT 40",I2014-00276,,,,1875.31,,,,Independence
283,27-140-07-15-00-0-00-000,JA27140071500000000,1420 APPLETON AVE,INDEPENDENCE,64052,"MAYWOOD, S 1/2 OF LOT 11 & N 18' OF LOT 12 BLK 4 (EX RR)",I2014-00294,,,,2391.44,,,,Independence
344,27-210-02-15-00-0-00-000,JA27210021500000000,9610 E US 24 HWY W,INDEPENDENCE,64053,"EVANSTON PARK, E 173' LOT 20 BLK 2 LY NWLY OF NWLY ROW LI 24 HWY",I2014-00299,,,,4116.34,,,,Independence
346,27-210-04-16-00-0-00-000,JA27210041600000000,9430 E US 24 HWY W,INDEPENDENCE,64053,"LOCKHART PLACE, LOTS 8-10 EX PT IN HWY",I2015-00261,,,,12334.1,,,,Independence
348,27-210-04-10-00-0-00-000,JA27210041000000000,9418 E US 24 HWY W,INDEPENDENCE,64053,"LOCKHART PLACE, LOT 5",I2015-00260,,,,2919.78,,,,Independence
336,27-210-08-02-00-0-00-000,JA27210080200000000,9525 E US 24 HWY E,INDEPENDENCE,64053,"EVANSTON PARK, E 98' OF N 55' LOT 18 & E 98' LOT 19 BLK 3 (EX PT IN ST)",I2015-00262,,,,6319.66,,,,Independence
337,27-210-08-04-00-0-00-000,JA27210080400000000,9401 E US 24 HWY E,INDEPENDENCE,64053,"EVANSTON PARK, LOT 20 BLK 3 (EX W 100' OF S 1/2) & LOT 21 BLK 3 LY S & W OF, HWY",I2015-00264,,,,797.61,,,,Independence
975,27-240-02-17-00-0-00-000,JA27240021700000000,1225 S FRANKLIN AVE,INDEPENDENCE,64052,"EVANSTON RESURVEY, LOT 63 (EX S 15')",I2015-00267,,,,8819.41,,,,Independence
1003,27-240-18-13-00-0-00-000,JA27240181300000000,9401 E 16TH ST S,INDEPENDENCE,64052,"FAIRLAND GROVE, LOT 86",I2015-00268,,,,5175.97,,,,Independence
1004,27-240-18-18-00-0-00-000,JA27240181800000000,9315 E 16TH ST S,INDEPENDENCE,64052,"FAIRLAND GROVE, LOT 80",I2015-00269,,,,2809.43,,,,Independence
276,27-340-10-25-00-0-00-000,JA27340102500000000,8625 E 16TH ST,UNINCORPORATED,64126,"STARK ACRES RESURVEY, LOT 64 BLK 2",K2015-01136,,,,1626.36,,,,Kansas City
980,27-410-13-43-00-0-00-000,JA27410134300000000,1908 HAZEL ST,UNINCORPORATED,64126,SUBDIVISION OF LOTS 1-6 BLUE SUMMIT---S 15' LOT 57 & ALL LOT 58 & N 10' LOT 59,K2015-01139,,,,2370.84,,,,Kansas City
992,27-410-06-01-00-0-00-000,JA27410060100000000,1702 LAUREL AVE,UNINCORPORATED,64126,"PITTSBURG RESURVEY, LOT 1 BLK 1",K2015-01138,,,,752.39,,,,Kansas City
257,27-510-06-05-00-0-00-000,JA27510060500000000,9415 E 18TH ST S,INDEPENDENCE,64052,"FAIRLAND, N 140' OF W 36.5' LOT 5 & N 140' OF E 16' LOT 6",I2015-00274,,,,4950.76,,,,Independence
